Time (s),Voltage (V)
101.67,-58.71
101.77,-58.71
101.87,-58.15
101.97,-58.43
102.07,-58.71
102.17,-58.71
102.37,-58.71
102.47,-58.98
102.58,-58.71
102.68,-58.43
102.78,-58.71
102.88,-58.98
102.98,-58.43
103.08,-58.43
103.18,-58.43
103.28,-58.71
103.38,-58.43
103.49,-58.43
103.69,-58.43
103.79,-58.43
103.89,-58.43
103.99,-58.43
104.09,-58.71
104.19,-58.71
104.29,-58.71
104.39,-58.71
104.5,-58.71
104.6,-58.71
104.7,-58.71
104.8,-58.71
105.0,-58.15
105.1,-58.43
105.2,-58.43
105.3,-58.71
105.4,-58.43
105.51,-58.43
105.61,-58.43
105.71,-58.71
105.81,-58.43
105.91,-58.43
106.01,-58.71
106.11,-58.98
106.21,-58.71
106.42,-58.71
106.52,-58.43
106.62,-58.71
106.72,-58.71
106.82,-57.87
106.92,-58.71
107.02,-58.15
107.12,-58.43
107.22,-58.15
107.32,-58.43
107.43,-58.71
107.53,-58.43
107.73,-58.71
107.83,-58.15
107.93,-58.43
108.03,-58.15
108.13,-58.15
108.23,-58.43
108.33,-58.15
108.43,-58.43
108.54,-58.15
108.64,-58.43
108.74,-58.15
108.84,-58.15
109.04,-58.15
109.14,-58.15
109.24,-58.15
109.34,-58.43
109.45,-58.43
109.55,-58.15
109.65,-58.15
109.75,-58.15
109.85,-58.43
109.95,-58.43
110.05,-58.43
110.15,-58.43
110.36,-58.15
110.45,-58.15
110.56,-58.71
110.66,-58.43
110.76,-58.15
110.86,-58.15
110.96,-58.15
111.06,-57.87
111.16,-57.87
111.26,-58.43
111.36,-58.43
111.47,-58.15
111.67,-58.43
111.77,-58.15
111.87,-58.15
111.97,-58.15
112.07,-58.71
112.17,-58.43
112.27,-58.15
112.37,-58.15
112.48,-58.43
112.58,-57.87
112.68,-58.15
112.78,-57.87
112.88,-58.15
113.08,-58.15
113.18,-58.15
113.28,-57.87
113.38,-57.59
113.49,-58.15
113.59,-58.43
113.69,-57.87
113.79,-57.87
113.89,-58.15
113.99,-58.15
114.09,-57.87
114.19,-57.87
114.4,-57.59
114.5,-58.15
114.6,-57.87
114.7,-58.15
114.8,-58.15
114.9,-58.43
115.0,-58.15
115.1,-58.15
115.2,-58.15
115.3,-58.15
115.4,-57.87
115.51,-57.87
115.71,-57.87
115.81,-57.59
115.91,-57.87
116.01,-58.43
116.11,-58.15
116.21,-57.87
116.31,-57.87
116.41,-58.15
116.52,-58.15
116.62,-58.15
116.72,-57.87
116.82,-58.43
116.92,-58.15
117.12,-58.15
117.22,-58.15
117.32,-57.87
117.43,-57.87
117.53,-58.15
117.63,-58.15
117.73,-57.59
117.83,-57.87
117.93,-57.87
118.03,-57.87
118.13,-57.87
118.23,-57.87
118.43,-57.87
118.54,-58.43
118.64,-57.87
118.74,-57.87
118.84,-57.59
118.94,-57.59
119.04,-58.43
119.14,-58.15
119.24,-57.87
119.34,-57.59
119.45,-58.15
119.55,-58.43
119.75,-58.15
119.85,-58.43
119.95,-58.43
120.05,-58.15
120.15,-57.59
120.25,-58.15
120.36,-57.87
120.46,-57.59
120.56,-58.15
120.66,-57.87
120.76,-57.59
120.86,-57.87
121.06,-57.87
121.16,-57.87
121.26,-57.59
121.36,-58.15
121.47,-57.59
121.57,-57.87
121.67,-57.59
121.77,-57.87
121.87,-58.15
121.97,-57.59
122.07,-57.87
122.17,-57.87
122.27,-58.15
122.48,-57.87
122.58,-57.87
122.68,-58.15
122.78,-57.59
122.88,-57.59
122.98,-57.87
123.08,-57.59
123.18,-57.59
123.28,-57.59
123.38,-57.31
123.49,-57.59
123.59,-57.59
123.79,-58.15
123.89,-57.87
123.99,-57.59
124.09,-57.87
124.19,-57.87
124.29,-57.87
124.39,-57.87
124.5,-58.15
124.6,-58.15
124.7,-57.59
124.8,-57.87
124.9,-57.87
125.1,-58.15
125.2,-57.87
125.3,-57.59
125.41,-57.59
125.51,-57.87
125.61,-57.59
125.71,-57.87
125.81,-57.31
125.91,-57.59
126.01,-57.59
126.11,-57.87
126.21,-57.59
126.31,-57.59
126.52,-57.87
126.62,-57.59
126.72,-57.87
126.82,-57.59
126.92,-57.87
127.02,-57.59
127.12,-57.31
127.22,-57.87
127.32,-57.59
127.43,-57.59
127.53,-57.87
127.63,-57.87
127.83,-57.59
127.93,-57.59
128.03,-57.87
128.13,-57.59
128.23,-57.59
128.33,-57.87
128.44,-57.59
128.54,-57.59
128.64,-57.87
128.74,-57.31
128.84,-57.31
128.94,-57.59
129.14,-57.59
129.24,-57.59
129.35,-57.59
129.45,-57.59
129.55,-57.59
129.65,-57.31
129.75,-57.59
129.85,-57.59
129.95,-57.31
130.05,-57.59
130.15,-57.59
130.25,-57.04
130.46,-57.87
130.56,-57.31
130.66,-57.59
130.76,-57.59
130.86,-57.59
130.96,-57.59
131.06,-57.59
131.16,-57.31
131.26,-57.31
131.37,-57.04
131.47,-57.59
131.57,-57.59
131.77,-57.31
131.87,-57.59
131.97,-57.87
132.07,-57.59
132.17,-57.31
132.27,-57.31
132.38,-57.31
132.48,-57.31
132.58,-57.31
132.68,-57.04
132.78,-57.31
132.88,-57.59
132.98,-57.31
133.18,-57.59
133.28,-57.59
133.39,-57.59
133.49,-57.59
133.59,-57.59
133.69,-57.59
133.79,-57.31
133.89,-57.04
133.99,-57.59
134.09,-57.31
134.19,-57.59
134.29,-57.59
134.5,-57.59
134.6,-57.04
134.7,-57.59
134.8,-57.59
134.9,-57.31
135.0,-57.31
135.1,-57.59
135.2,-57.31
135.3,-57.87
135.41,-56.76
135.51,-57.59
135.71,-57.04
135.81,-57.04
135.91,-57.31
136.01,-57.59
136.11,-57.31
136.21,-57.31
136.31,-57.59
136.42,-57.31
136.52,-57.31
136.62,-57.59
136.72,-57.31
136.92,-57.04
137.02,-57.04
137.12,-57.31
137.22,-57.04
137.33,-57.04
137.43,-57.04
137.53,-57.59
137.63,-57.31
137.73,-57.59
137.83,-57.59
137.93,-57.59
138.03,-57.59
138.13,-57.04
138.34,-57.31
138.44,-57.59
138.54,-57.04
138.64,-57.31
138.74,-57.31
138.84,-57.31
138.94,-57.04
139.04,-57.31
139.14,-57.31
139.24,-57.31
139.35,-57.31
139.45,-57.31
139.65,-57.31
139.75,-57.31
139.85,-57.31
139.95,-57.31
140.05,-57.31
140.15,-57.59
140.25,-57.59
140.36,-57.59
140.46,-57.31
140.56,-57.59
140.66,-57.59
140.76,-57.04
140.86,-56.76
141.06,-57.04
141.16,-56.76
141.26,-56.76
141.37,-57.04
141.47,-57.31
141.57,-56.76
141.67,-57.04
141.77,-56.76
141.87,-57.31
141.97,-57.04
142.07,-56.76
142.17,-57.04
142.38,-57.04
142.48,-57.04
142.58,-57.31
142.68,-56.76
142.78,-56.76
142.88,-57.04
142.98,-57.04
143.08,-57.04
143.18,-57.31
143.29,-57.04
143.38,-57.31
143.49,-57.04
143.69,-56.76
143.79,-57.31
143.89,-57.31
143.99,-57.04
144.09,-57.59
144.19,-57.04
144.29,-57.31
144.4,-57.04
144.5,-57.04
144.6,-57.31
144.7,-57.31
144.8,-56.76
145.0,-57.31
145.1,-57.04
145.2,-57.04
145.3,-57.31
145.41,-57.59
145.51,-57.31
145.61,-57.31
145.71,-57.04
145.81,-57.31
145.91,-57.04
146.01,-57.04
146.11,-57.04
146.21,-57.59
146.42,-57.04
146.52,-57.31
146.62,-57.04
146.72,-57.04
146.82,-56.76
146.92,-57.31
147.02,-57.04
147.12,-57.04
147.22,-56.48
147.32,-57.31
147.43,-57.04
147.53,-56.76
147.73,-57.04
147.83,-56.48
147.93,-56.76
148.03,-57.04
148.13,-57.31
148.23,-57.04
148.34,-56.76
148.44,-56.76
148.54,-57.04
148.64,-57.04
148.74,-57.04
148.84,-57.04
149.04,-57.04
149.14,-56.76
149.24,-56.76
149.35,-57.31
149.45,-56.48
149.55,-56.48
149.65,-56.76
149.75,-57.04
149.85,-56.76
149.95,-56.76
150.05,-57.04
150.15,-56.76
150.36,-57.04
150.46,-57.04
150.56,-56.76
150.66,-57.04
150.76,-56.76
150.86,-56.76
150.96,-57.04
151.06,-56.76
151.16,-56.76
151.27,-57.04
151.37,-56.76
151.47,-57.31
151.57,-57.04
151.77,-56.76
151.87,-56.76
151.97,-56.48
152.07,-56.76
152.17,-56.76
152.27,-56.76
152.38,-57.04
152.48,-56.76
152.58,-56.48
152.68,-56.76
152.78,-56.76
152.88,-56.76
153.08,-56.76
153.18,-56.76
153.28,-57.31
153.38,-56.2
153.49,-56.76
153.59,-57.04
153.69,-56.76
153.79,-56.76
153.89,-57.04
153.99,-57.04
154.09,-56.76
154.19,-56.48
154.4,-56.76
154.5,-57.04
154.6,-57.04
154.7,-56.76
154.8,-56.76
154.9,-56.76
155.0,-57.04
155.1,-56.76
155.2,-56.76
155.3,-56.48
155.41,-56.48
155.51,-56.48
155.61,-56.76
155.81,-56.76
155.91,-57.04
156.01,-56.48
156.11,-56.76
156.21,-56.48
156.32,-56.76
156.42,-56.76
156.52,-56.76
156.62,-56.76
156.72,-57.04
156.82,-56.76
156.92,-56.48
157.12,-56.76
157.22,-56.76
157.33,-57.04
157.43,-56.76
157.53,-56.76
157.63,-56.48
157.73,-56.76
157.83,-56.76
157.93,-56.76
158.03,-56.76
158.13,-56.76
158.23,-56.76
158.44,-56.76
158.54,-56.48
158.64,-56.76
158.74,-56.76
158.84,-56.48
158.94,-56.48
159.04,-56.48
159.14,-56.76
159.24,-56.76
159.35,-56.76
159.45,-56.76
159.55,-56.48
159.75,-56.76
159.85,-57.04
159.95,-56.48
160.05,-56.76
160.15,-56.76
160.25,-57.04
160.36,-56.48
160.46,-56.48
160.56,-56.48
160.66,-56.2
160.76,-56.76
160.86,-56.48
160.96,-56.48
161.16,-56.76
161.26,-56.2
161.37,-57.04
161.47,-56.48
161.57,-56.76
161.67,-56.76
161.77,-56.48
161.87,-56.76
161.97,-56.48
162.07,-56.48
162.17,-56.76
162.27,-56.76
162.48,-56.48
162.58,-56.48
162.68,-57.04
162.78,-56.76
162.88,-56.2
162.98,-56.48
163.08,-56.2
163.18,-56.76
163.28,-56.48
163.39,-56.48
163.49,-56.48
163.59,-56.48
163.79,-56.48
163.89,-56.48
163.99,-56.76
164.09,-56.48
164.19,-56.48
164.3,-56.76
164.4,-56.48
164.5,-56.2
164.6,-56.2
164.7,-56.76
164.8,-56.48
164.9,-56.48
165.1,-56.76
165.2,-56.48
165.3,-56.48
165.41,-56.48
165.51,-56.48
165.61,-56.76
165.71,-56.2
165.81,-56.48
165.91,-56.48
166.01,-56.48
166.11,-55.92
166.21,-56.48
166.32,-56.48
166.52,-56.2
166.62,-56.48
166.72,-56.2
166.82,-56.48
166.92,-56.48
167.02,-56.48
167.12,-56.2
167.22,-56.48
167.33,-56.48
167.43,-56.48
167.53,-56.76
167.63,-56.2
167.83,-56.48
167.93,-56.2
168.03,-56.48
168.13,-56.76
168.24,-56.48
168.34,-56.48
168.44,-56.2
168.54,-56.76
168.64,-56.48
168.74,-56.2
168.84,-56.2
168.94,-56.76
