Time (s),Voltage (V)
111.43,-142.5
111.53,-142.22
111.63,-142.5
111.73,-142.22
111.84,-141.94
111.94,-141.94
112.04,-141.66
112.14,-141.39
112.24,-141.66
112.34,-141.39
112.44,-141.39
112.54,-141.11
112.64,-141.39
112.75,-140.83
112.85,-140.83
112.95,-141.11
113.05,-140.83
113.15,-140.55
113.25,-140.55
113.35,-140.55
113.45,-140.55
113.55,-139.99
113.65,-140.27
113.76,-140.27
113.86,-139.99
113.96,-139.99
114.06,-139.99
114.16,-139.16
114.26,-139.72
114.36,-139.16
114.46,-139.72
114.56,-139.16
114.67,-139.44
114.77,-139.16
114.87,-138.88
114.97,-139.16
115.07,-139.16
115.17,-138.88
115.27,-138.88
115.37,-138.88
115.47,-138.32
115.57,-138.32
115.68,-138.05
115.78,-138.32
115.88,-137.77
115.98,-137.77
116.08,-138.05
116.18,-137.77
116.28,-137.77
116.38,-138.05
116.48,-137.77
116.59,-137.77
116.69,-137.49
116.79,-137.49
116.89,-137.49
116.99,-137.21
117.09,-137.21
117.19,-137.21
117.29,-136.93
117.39,-136.93
117.5,-136.65
117.6,-136.38
117.7,-136.65
117.8,-136.65
117.9,-136.38
118,-136.38
118.1,-136.38
118.2,-136.65
118.3,-136.1
118.4,-136.38
118.51,-136.1
118.61,-135.82
118.71,-135.82
118.81,-135.82
118.91,-135.54
119.01,-135.54
119.11,-135.54
119.21,-135.26
119.31,-134.98
119.41,-135.26
119.52,-135.26
119.62,-134.98
119.72,-134.98
119.82,-135.26
119.92,-135.26
120.02,-134.7
120.12,-134.98
120.22,-134.98
120.33,-134.7
120.43,-134.43
120.53,-134.7
120.63,-134.43
120.73,-134.43
120.83,-134.43
120.93,-134.15
121.03,-133.87
121.13,-134.15
121.23,-133.87
121.33,-134.15
121.44,-134.15
121.54,-133.87
121.64,-133.59
121.74,-133.87
121.84,-133.59
121.94,-133.87
122.04,-133.31
122.14,-133.31
122.25,-133.03
122.35,-133.03
122.45,-133.03
122.55,-133.03
122.65,-133.31
122.75,-132.76
122.85,-133.03
122.95,-133.31
123.05,-132.76
123.15,-133.31
123.26,-133.03
123.36,-132.76
123.46,-132.48
123.56,-132.48
123.66,-132.2
123.76,-132.2
123.86,-132.2
123.96,-131.64
124.06,-131.92
124.17,-132.2
124.27,-131.64
124.37,-131.64
124.47,-131.64
124.57,-131.64
124.67,-131.64
124.77,-131.36
124.87,-131.64
124.97,-131.64
125.07,-131.36
125.18,-131.64
125.28,-131.36
125.38,-131.36
125.48,-131.09
125.58,-131.09
125.68,-131.09
125.78,-130.81
125.88,-130.81
125.98,-130.81
126.09,-130.53
126.19,-130.81
126.29,-130.81
126.39,-129.97
126.49,-130.25
126.59,-130.53
126.69,-130.81
126.79,-130.53
126.89,-130.53
127,-130.25
127.1,-130.25
127.2,-129.97
127.3,-129.97
127.4,-129.69
127.5,-129.42
127.6,-129.69
127.7,-129.42
127.8,-129.69
127.9,-129.69
128.01,-129.42
128.11,-129.42
128.21,-129.14
128.31,-129.42
128.41,-128.86
128.51,-129.14
128.61,-129.14
128.71,-129.42
128.82,-129.42
128.91,-129.14
129.02,-129.14
129.12,-128.86
129.22,-128.86
129.32,-128.58
129.42,-128.3
129.52,-128.86
129.62,-128.86
129.72,-128.58
129.82,-128.58
129.93,-128.3
130.03,-128.3
130.13,-128.3
130.23,-128.58
130.33,-128.3
130.43,-128.02
130.53,-127.75
130.63,-127.75
130.74,-128.02
130.84,-127.47
130.94,-128.02
131.04,-127.75
131.14,-127.47
131.24,-128.02
131.34,-127.75
131.44,-127.75
131.54,-127.47
131.64,-127.47
131.75,-127.47
131.85,-127.47
131.95,-127.19
132.05,-127.19
132.15,-126.63
132.25,-126.91
132.35,-127.19
132.45,-126.91
132.55,-127.19
132.66,-126.91
132.76,-126.63
132.86,-126.63
132.96,-126.91
133.06,-126.63
133.16,-126.35
133.26,-126.91
133.36,-126.35
133.46,-126.35
133.56,-125.8
133.66,-126.35
133.77,-126.35
133.87,-126.07
133.97,-126.07
134.07,-125.8
134.17,-125.8
134.27,-125.8
134.37,-126.35
134.47,-125.8
134.58,-125.8
134.68,-125.52
134.78,-125.8
134.88,-125.52
134.98,-125.52
135.08,-125.52
135.18,-125.8
135.28,-125.24
135.38,-125.52
135.48,-125.52
135.59,-125.24
135.69,-124.96
135.79,-124.96
135.89,-124.4
135.99,-125.24
136.09,-124.68
136.19,-124.96
136.29,-124.68
136.39,-124.96
136.5,-124.68
136.6,-124.68
136.7,-124.68
136.8,-124.96
136.9,-124.68
137,-124.68
137.1,-124.68
137.2,-124.13
137.3,-124.4
137.4,-124.13
137.51,-124.4
137.61,-124.13
137.71,-124.68
137.81,-124.4
137.91,-124.13
138.01,-123.85
138.11,-124.13
138.21,-124.13
138.31,-124.13
138.41,-123.85
138.52,-123.85
138.62,-123.85
138.72,-124.13
138.82,-123.29
138.92,-123.01
139.02,-123.57
139.12,-123.01
139.22,-123.85
139.32,-123.29
139.43,-123.29
139.53,-123.29
139.63,-123.01
139.73,-123.01
139.83,-123.01
139.93,-122.73
140.03,-123.01
140.13,-123.29
140.23,-123.01
140.34,-123.01
140.44,-122.73
140.54,-122.46
140.64,-122.73
140.74,-123.01
140.84,-122.46
140.94,-122.46
141.04,-122.73
141.14,-122.46
141.24,-122.18
141.35,-122.46
141.45,-122.46
141.55,-122.46
141.65,-122.18
141.75,-122.46
141.85,-122.46
141.95,-121.9
142.05,-121.9
142.15,-122.18
142.26,-121.9
142.36,-121.9
142.46,-121.62
142.56,-121.34
142.66,-121.9
142.76,-121.62
142.86,-121.62
142.96,-121.9
143.06,-121.9
143.16,-121.62
143.27,-121.9
143.37,-121.34
143.47,-121.06
143.57,-121.06
143.67,-121.34
143.77,-121.62
143.87,-121.62
143.97,-120.79
144.07,-121.06
144.18,-121.06
144.28,-121.06
144.38,-120.79
144.48,-120.79
144.58,-120.79
144.68,-120.79
144.78,-120.79
144.88,-121.06
144.98,-120.79
145.09,-120.51
145.19,-120.79
145.29,-120.23
145.39,-120.79
145.49,-120.51
145.59,-120.51
145.69,-120.51
145.79,-120.23
145.89,-120.23
145.99,-119.67
146.1,-119.95
146.2,-120.51
146.3,-119.95
146.4,-119.95
146.5,-119.95
146.6,-119.95
146.7,-120.23
146.8,-119.95
146.9,-119.39
147.01,-119.67
147.11,-120.23
147.21,-119.67
147.31,-119.67
147.41,-119.67
147.51,-119.67
147.61,-119.39
147.71,-119.67
147.81,-119.39
147.91,-119.39
148.02,-119.67
148.12,-119.12
148.22,-119.12
148.32,-119.12
148.42,-119.39
148.52,-119.12
148.62,-119.12
148.72,-118.84
148.82,-119.39
148.93,-119.12
149.03,-118.84
149.13,-118.84
149.23,-118.56
149.33,-118.84
149.43,-118.56
149.53,-118.84
149.63,-118.84
149.73,-118.84
149.83,-118.56
149.94,-118.56
150.04,-118.56
150.14,-118.56
150.24,-118.56
150.34,-118.28
150.44,-118.28
150.54,-118
150.64,-118.28
150.74,-118.28
150.85,-118.28
150.95,-118.28
151.05,-118
151.15,-118.28
151.25,-118
151.35,-117.72
151.45,-117.72
151.55,-117.72
151.65,-117.72
151.75,-117.72
151.86,-117.72
151.96,-117.45
152.06,-117.45
152.16,-117.72
152.26,-117.72
152.36,-117.17
152.46,-117.45
152.56,-117.17
152.66,-117.72
152.77,-117.45
152.87,-117.17
152.97,-117.17
153.07,-117.17
153.17,-117.45
153.27,-117.17
153.37,-117.17
153.47,-117.17
153.57,-117.17
153.67,-116.89
153.78,-117.17
153.88,-117.17
153.98,-116.89
154.08,-116.61
154.18,-116.61
154.28,-116.33
154.38,-116.61
154.48,-116.61
154.59,-116.89
154.69,-116.33
154.79,-116.89
154.89,-116.61
154.99,-116.61
155.09,-116.33
155.19,-116.61
155.29,-116.61
155.39,-116.61
155.49,-116.33
155.6,-116.33
155.7,-116.33
155.8,-116.33
155.9,-115.77
156,-115.77
156.1,-115.77
156.2,-116.05
156.3,-116.05
156.4,-115.77
156.51,-116.05
156.61,-116.05
